Treatment,Lesion (pixel area),Log (pixel area)
Mock,64006,4.806220687
Mock,54037,4.73269123
Mock,34414,4.536735154
Mock,68279,4.834287152
Mock,51692,4.713423336
Mock,66500,4.822821645
Mock,102380,5.010215125
Mock,15300,4.184691431
Mock,95269,4.978951607
Mock,64320,4.808346036
Mock,51357,4.710599647
Mock,73095,4.86388767
Mock,77459,4.889071886
Mock,61336,4.78771545
Mock,60461,4.781475326
Mock,65704,4.81759181
Ecoli,59658,4.77566869
Ecoli,44241,4.645824935
Ecoli,100908,5.003925599
Ecoli,38159,4.581596985
Ecoli,42258,4.625908939
Ecoli,33289,4.522300749
Ecoli,74718,4.873425238
Ecoli,18264,4.261595898
Ecoli,53449,4.727939584
Ecoli,82734,4.917684022
Ecoli,65439,4.815836654
Ecoli,43600,4.639486489
Ecoli,42968,4.633145139
Ecoli,72892,4.862679867
Ecoli,47449,4.676227064
Ecoli,56509,4.752117622
WCS374r,24875,4.395763089
WCS374r,7367,3.86729067
WCS374r,41296,4.615907987
WCS374r,12087,4.082318522
WCS374r,80195,4.904147292
WCS374r,8219,3.91481898
WCS374r,25402,4.404867912
WCS374r,12481,4.096249383
WCS374r,52732,4.722074243
WCS374r,73359,4.865453403
WCS374r,72634,4.861139962
WCS374r,61559,4.789291556
WCS374r,75730,4.879267957
WCS374r,43757,4.641047539
WCS374r,50101,4.699846394
WCS374r,41027,4.613069761